"Date","Open","High","Low","Close","Volume"
"09/14/2021","299.56","301.39","298.1","299.79","21,853,430"
"09/13/2021","297.55","298.54","294.08","296.99","23,652,950"
"09/10/2021","298.415","299.92","295.38","295.71","19,633,360"
"09/09/2021","300.82","302.14","297","297.25","19,927,000"
"09/08/2021","299.78","300.61","297.4651","300.21","15,046,820"
"09/07/2021","301.005","301.09","298.2","300.18","17,184,080"
"09/03/2021","300.99","302.6","300.26","301.14","14,751,610"
"09/02/2021","302.2","303.3602","300.18","301.15","16,290,550"
"09/01/2021","302.865","305.19","301.49","301.83","18,983,830"
"08/31/2021","304.42","304.5","301.5","301.88","26,285,340"
"08/30/2021","301.115","304.22","301.06","303.59","16,348,070"
"08/27/2021","298.987","300.87","296.83","299.72","22,605,730"
"08/26/2021","300.99","302.429","298.95","299.09","17,666,080"
"08/25/2021","304.3","304.59","300.42","302.01","20,006,060"
"08/24/2021","305.02","305.65","302.0035","302.62","18,175,770"
"08/23/2021","303.245","305.4","301.85","304.65","22,830,160"
"08/20/2021","299.72","305.84","298.06","304.36","40,817,650"
"08/19/2021","288.694","297.47","288.64","296.77","29,850,460"
"08/18/2021","292.04","294.82","290.27","290.73","21,812,990"
"08/17/2021","292.39","293.43","291.08","293.08","20,075,250"
"08/16/2021","293.19","294.82","290.02","294.6","22,516,030"
"08/13/2021","289.48","292.9","289.3","292.85","18,249,050"
"08/12/2021","286.63","289.97","286.34","289.81","14,570,390"
"08/11/2021","287.21","288.66","285.86","286.95","13,955,930"
"08/10/2021","288.8","289.25","285.2","286.44","18,616,580"
"08/09/2021","289.75","291.55","287.81","288.33","16,117,630"
"08/06/2021","288.505","289.5","287.6238","289.46","16,589,340"
"08/05/2021","286.88","289.63","286.1","289.52","13,900,170"
"08/04/2021","286.22","287.5883","284.65","286.51","16,191,300"
"08/03/2021","285.42","287.23","284","287.12","17,879,050"
"08/02/2021","286.36","286.775","283.74","284.82","16,267,360"
"07/30/2021","285.17","286.66","283.91","284.91","20,944,850"
"07/29/2021","286.235","288.618","286.08","286.5","18,168,290"
"07/28/2021","288.99","290.15","283.8303","286.22","33,566,850"
"07/27/2021","289.43","289.575","282.95","286.54","33,604,070"
"07/26/2021","289","289.69","286.642","289.05","23,176,070"
"07/23/2021","287.37","289.99","286.5","289.67","22,768,070"
"07/22/2021","283.84","286.42","283.42","286.14","23,384,060"
"07/21/2021","278.905","281.52","277.29","281.4","24,364,320"
"07/20/2021","278.03","280.97","276.26","279.32","26,259,740"
"07/19/2021","278.934","280.37","274.45","277.01","32,935,630"
"07/16/2021","282.07","284.1","279.46","280.75","26,186,850"
"07/15/2021","282","282.51","279.83","281.03","22,604,230"
"07/14/2021","282.345","283.66","280.55","282.51","23,113,660"
"07/13/2021","277.52","282.8477","277.39","280.98","26,120,130"
"07/12/2021","279.157","279.77","276.58","277.32","18,931,700"
"07/09/2021","275.72","278.05","275.32","277.94","23,916,670"
"07/08/2021","276.9","278.73","274.87","277.42","24,618,590"
"07/07/2021","279.4","280.6945","277.15","279.93","23,260,030"
"07/06/2021","278.03","279.3698","274.3","277.66","31,565,560"
"07/02/2021","272.82","278","272.5","277.65","26,474,410"
"07/01/2021","269.61","271.84","269.6","271.6","16,725,320"
"06/30/2021","270.69","271.3598","269.6043","270.9","21,656,460"
"06/29/2021","268.865","271.65","267.98","271.4","19,937,810"
"06/28/2021","266.185","268.9","265.91","268.72","19,590,020"
"06/25/2021","266.23","267.25","264.76","265.02","25,611,110"
"06/24/2021","266.16","267.85","265.47","266.69","21,446,870"
"06/23/2021","265.99","266.83","264.43","265.275","19,518,680"
"06/22/2021","262.72","265.79","262.4","265.51","24,694,090"
"06/21/2021","259.82","263.52","257.92","262.63","26,696,120"
"06/18/2021","259.63","262.3","258.75","259.43","37,202,220"
"06/17/2021","256.065","261.75","256.01","260.9","27,565,540"
"06/16/2021","259.4","260.58","254.42","257.38","27,219,960"
"06/15/2021","259.775","259.99","257.68","258.36","18,038,930"
"06/14/2021","257.9","259.95","256.8","259.89","19,150,510"
"06/11/2021","257.985","258.4868","256.61","257.89","18,999,730"
"06/10/2021","254.29","257.46","253.67","257.24","24,563,620"
"06/09/2021","253.81","255.53","253.21","253.59","17,937,630"
"06/08/2021","255.16","256.01","252.51","252.57","22,455,000"
"06/07/2021","249.98","254.09","249.81","253.81","23,079,170"
"06/04/2021","247.76","251.65","247.51","250.79","25,281,090"
"06/03/2021","245.22","246.34","243","245.71","25,307,710"
"06/02/2021","248.125","249.27","245.84","247.3","19,406,710"
"06/01/2021","251.23","251.29","246.96","247.4","23,213,310"
"05/28/2021","250.995","252.08","249.56","249.68","18,274,940"
"05/27/2021","251.17","251.48","249.25","249.31","24,426,240"
"05/26/2021","251.43","252.94","250.75","251.49","17,771,600"
"05/25/2021","251.769","252.75","250.82","251.72","17,704,300"
"05/24/2021","247.785","251.16","247.51","250.78","21,411,550"
"05/21/2021","247.565","248.33","244.74","245.17","21,863,060"
